Unnamed: 0,label,text,label_num
605,ham,subject enron methanol meter follow note gave monday preliminary flow data provided daren please override pop daily volume presently zero reflect daily activity obtain gas control change needed asap economics purposes,0
2349,ham,subject hpl nom january see attached file hplnol xls hplnol xls,0
3624,ham,subject neon retreat ho ho ho around wonderful time year neon leaders retreat time know time year extremely hectic tough think anything past holidays life go past week december january like think minute calender handed beginning fall semester retreat scheduled weekend january youth ministers conference brad dustin connected week going change date following weekend january comes part need think think agree important us get together time recharge batteries get far spring semester lot trouble difficult us get away without kids etc brad came potential alternative get together weekend let know prefer first option would retreat similar done past several years year could go heartland country inn www com outside brenham nice place bedroom bedroom house side side country real relaxing also close brenham one hour minutes golf shop antique craft stores brenham eat dinner together ranch spend time meet saturday return sunday morning like done past second option would stay houston dinner together nice restaurant dessert time visiting recharging one homes saturday evening might easier trade would much time together let decide email back would preference course available weekend democratic process prevail majority vote rule let hear soon possible preferably end weekend vote go way complaining allowed like tend great weekend great golf great fishing great shopping whatever makes happy bobby,0
4685,spam,subject photoshop windows office cheap main trending abasements darer prudently fortuitous undergone lighthearted charm orinoco taster railroad affluent pornographic cuvier irvin parkhouse blameworthy chlorophyll robed diagrammatic fogarty clears bayda inconveniencing managing represented smartness hashish academies shareholders unload badness danielson pure caffein spaniard chargeable levin,1
2030,ham,subject indian springs deal book teco pvr revenue understanding teco sends us check received answer whether predermined price associated deal teco lets us know giving continue chase deal need,0
2949,ham,subject ehronline web address change message intended ehronline users due recent change ehronline url aka web address accessing ehronline needs changed computer change involves adding letter http reference url url accessing ehronline https ehronline enron com change made added url favorite browser,0
2793,ham,subject spring savings certificate take save use customer appreciation spring savings certificate foot locker lady foot locker kids foot locker online stores welcome customer appreciation spring savings certificate use special certificate receive purchases either stores online hurry day sale begins thursday march ends sunday march share savings today e mail offer friends many items already reduced discount taken lowest sale price click print customer appreciation spring savings certificate must present coupon foot locker lady foot locker kids foot locker store u foot locker canada participating program ready set save spring savings discount automatically appear use links type camlem promotion code box checkout footlocker com certificate code camlem ladyfootlocker com certificate code camlem kidsfootlocker com certificate code camlem remember returns hassle free simply bring items stores nationwide mail left register today learn new products promotions events specials simply click terms conditions exclusions apply please see manager complete details certificate must presented time purchase cannot used conjunction discount offer associate benefit redeemable cash applicable taxes must paid bearer cannot applied prior purchases gift card purchases void prohibited licensed regulated catalog exclusions apply valid thursday sunday foot locker canada participate program wish receive future emails please click unsubscribe,0
4185,spam,subject looking medication best source difficult make material condition better best law easy enough ruin bad laws excuse found best simpliest site medication net perscription easy delivery private secure easy better see rightly pound week squint million got anything ever want erection treatment pills anti depressant pills weight loss http splicings bombahakcx com knowledge human power synonymous high quality stuff low rates moneyback guarantee god nature sufficeth unto wise hath need author,1
2641,ham,subject noms actual flow agree forwarded melissa jones texas utilities eileen ponton david avila lsp enserch us tu charlie stone texas utilities tu melissa jones texas utilities tu hpl scheduling enron com liz bellamy enron com cc subject noms actual flow date nom flow mcf flow mmbtu btu,0
1870,ham,subject nominations oct see attached file hplnl xls hplnl xls,0
